v8-version,4,5,103,33,0
shared-library,"/home/ubuntu/.nvm/versions/node/v4.1.1/bin/node",0x00400000,0x01635000
shared-library,"3830f9d19000-3830f9d1a000",0x3830f9d19000,0x3830f9d1a000
shared-library,"/lib/x86_64-linux-gnu/libc-2.19.so",0x7f9f78514000,0x7f9f786cf000
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.19.so",0x7f9f788d9000,0x7f9f788f2000
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7f9f78af7000,0x7f9f78b0d000
shared-library,"/lib/x86_64-linux-gnu/libm-2.19.so",0x7f9f78d0d000,0x7f9f78e12000
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19",0x7f9f79013000,0x7f9f790f9000
shared-library,"/lib/x86_64-linux-gnu/librt-2.19.so",0x7f9f79317000,0x7f9f7931e000
shared-library,"/lib/x86_64-linux-gnu/libdl-2.19.so",0x7f9f7951f000,0x7f9f79522000
shared-library,"/lib/x86_64-linux-gnu/ld-2.19.so",0x7f9f79723000,0x7f9f79746000
shared-library,"[vdso]",0x7ffea952b000,0x7ffea952d000
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000
profiler,"begin",1
tick,0xac1770,3108,0,0x0,4
tick,0xbd67c0,3122,0,0x0,4
code-creation,Stub,2,0x1e64ff806000,380,"CEntryStub"
code-creation,Stub,2,0x1e64ff806180,556,"CEntryStub"
code-creation,Stub,2,0x1e64ff8063c0,168,"StoreBufferOverflowStub"
code-creation,Stub,2,0x1e64ff806480,388,"StoreBufferOverflowStub"
code-creation,Stub,2,0x1e64ff806620,116,"StubFailureTrampolineStub"
code-creation,Stub,2,0x1e64ff8066a0,117,"StubFailureTrampolineStub"
code-creation,Stub,2,0x1e64ff806720,466,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS"
tick,0x7f9f7855e67e,3934,0,0x0,4
code-creation,Stub,2,0x1e64ff806900,430,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x1e64ff806ac0,486,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x1e64ff806cc0,446,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x1e64ff806e80,426,"ArrayNoArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x1e64ff807040,426,"ArrayNoArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x1e64ff807200,446,"ArrayNoArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x1e64ff8073c0,446,"ArrayNoArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x1e64ff807580,586,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS"
tick,0xb1e6b0,4988,0,0x0,4
code-creation,Stub,2,0x1e64ff8077e0,546,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x1e64ff807a20,602,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x1e64ff807c80,566,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
