v8-version,4,5,103,33,0
shared-library,"/home/ubuntu/.nvm/versions/node/v4.1.1/bin/node",0x00400000,0x01635000
shared-library,"352c8fdd000-352c8fde000",0x352c8fdd000,0x352c8fde000
shared-library,"/lib/x86_64-linux-gnu/libc-2.19.so",0x7fc25e6f9000,0x7fc25e8b4000
shared-library,"/lib/x86_64-linux-gnu/libpthread-2.19.so",0x7fc25eabe000,0x7fc25ead7000
shared-library,"/lib/x86_64-linux-gnu/libgcc_s.so.1",0x7fc25ecdc000,0x7fc25ecf2000
shared-library,"/lib/x86_64-linux-gnu/libm-2.19.so",0x7fc25eef2000,0x7fc25eff7000
shared-library,"/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.19",0x7fc25f1f8000,0x7fc25f2de000
shared-library,"/lib/x86_64-linux-gnu/librt-2.19.so",0x7fc25f4fc000,0x7fc25f503000
shared-library,"/lib/x86_64-linux-gnu/libdl-2.19.so",0x7fc25f704000,0x7fc25f707000
shared-library,"/lib/x86_64-linux-gnu/ld-2.19.so",0x7fc25f908000,0x7fc25f92b000
shared-library,"[vdso]",0x7ffc371fa000,0x7ffc371fc000
shared-library,"[vsyscall]",0xffffffffff600000,0xffffffffff601000
profiler,"begin",1
tick,0x7fc25e7e488d,602,0,0x0,4
code-creation,Stub,2,0x252c5c806000,380,"CEntryStub"
code-creation,Stub,2,0x252c5c806180,556,"CEntryStub"
code-creation,Stub,2,0x252c5c8063c0,168,"StoreBufferOverflowStub"
code-creation,Stub,2,0x252c5c806480,388,"StoreBufferOverflowStub"
code-creation,Stub,2,0x252c5c806620,116,"StubFailureTrampolineStub"
code-creation,Stub,2,0x252c5c8066a0,117,"StubFailureTrampolineStub"
code-creation,Stub,2,0x252c5c806720,466,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x252c5c806900,430,"ArrayNoArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x252c5c806ac0,486,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x252c5c806cc0,446,"ArrayNoArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x252c5c806e80,426,"ArrayNoArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
tick,0x7fc25e7783d0,1704,0,0x0,4
code-creation,Stub,2,0x252c5c807040,426,"ArrayNoArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x252c5c807200,446,"ArrayNoArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x252c5c8073c0,446,"ArrayNoArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x252c5c807580,586,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS"
code-creation,Stub,2,0x252c5c8077e0,546,"ArraySingleArgumentConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x252c5c807a20,602,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
tick,0xb15a80,2742,0,0x0,4
code-creation,Stub,2,0x252c5c807c80,566,"ArraySingleArgumentConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x252c5c807ec0,570,"ArraySingleArgumentConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x252c5c808100,570,"ArraySingleArgumentConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x252c5c808340,566,"ArraySingleArgumentConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x252c5c808580,566,"ArraySingleArgumentConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x252c5c8087c0,554,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS"
tick,0xb16e9a,3812,0,0x0,4
code-creation,Stub,2,0x252c5c808a00,514,"ArrayNArgumentsConstructorStub_FAST_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x252c5c808c20,570,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS"
code-creation,Stub,2,0x252c5c808e60,534,"ArrayNArgumentsConstructorStub_FAST_HOLEY_SMI_ELEMENTS_DISABLE_ALLOCATION_SITES"
code-creation,Stub,2,0x252c5c809080,546,"ArrayNArgumentsConstructorStub_FAST_DOUBLE_ELEMENTS"
code-creation,Stub,2,0x252c5c8092c0,546,"ArrayNArgumentsConstructorStub_FAST_HOLEY_DOUBLE_ELEMENTS"
tick,0xbc4aa8,4880,0,0x0,4
code-creation,Stub,2,0x252c5c809500,482,"ArrayNArgumentsConstructorStub_FAST_ELEMENTS"
code-creation,Stub,2,0x252c5c809700,482,"ArrayNArgumentsConstructorStub_FAST_HOLEY_ELEMENTS"
code-creation,Stub,2,0x252c5c809900,2723,"RecordWriteStub"
code-creation,Stub,2,0x252c5c80a3c0,2680,"RecordWriteStub"
code-creation,Stub,2,0x252c5c80ae40,486,"CreateAllocationSiteStub"
code-creation,Stub,2,0x252c5c80b040,2722,"RecordWriteStub"
code-creation,Stub,2,0x252c5c80bb00,2672,"RecordWriteStub"
code-creation,Stub,2,0x252c5c80c580,430,"CreateWeakCellStub"
code-creation,Stub,11,0x252c5c80c740,152,"BinaryOpICStub(BIT_OR:None*None->None)"
code-creation,Stub,11,0x252c5c80c7e0,152,"BinaryOpICStub(BIT_XOR:None*None->None)"
code-creation,Stub,11,0x252c5c80c880,152,"BinaryOpICStub(BIT_AND:None*None->None)"
code-creation,Stub,11,0x252c5c80c920,152,"BinaryOpICStub(SHL:None*None->None)"
code-creation,Stub,11,0x252c5c80c9c0,152,"BinaryOpICStub(SAR:None*None->None)"
code-creation,Stub,11,0x252c5c80ca60,152,"BinaryOpICStub(SHR:None*None->None)"
code-creation,Stub,11,0x252c5c80cb00,152,"BinaryOpICStub(ROR:None*None->None)"
code-creation,Stub,11,0x252c5c80cba0,152,"BinaryOpICStub(ADD:None*None->None)"
code-creation,Stub,11,0x252c5c80cc40,152,"BinaryOpICStub(SUB:None*None->None)"
code-creation,Stub,11,0x252c5c80cce0,152,"BinaryOpICStub(MUL:None*None->None)"
code-creation,Stub,11,0x252c5c80cd80,152,"BinaryOpICStub(DIV:None*None->None)"
code-creation,Stub,11,0x252c5c80ce20,152,"BinaryOpICStub(MOD:None*None->None)"
code-creation,Stub,11,0x252c5c80cec0,232,"BinaryOpICStub(ADD:Int32*Int32->Int32)"
code-creation,Stub,11,0x252c5c80cfc0,414,"BinaryOpICStub(ADD:Int32*Int32->Number)"
code-creation,Stub,11,0x252c5c80d160,442,"BinaryOpICStub(ADD:Int32*Number->Number)"
code-creation,Stub,11,0x252c5c80d320,232,"BinaryOpICStub(ADD:Int32*Smi->Int32)"
code-creation,Stub,11,0x252c5c80d420,442,"BinaryOpICStub(ADD:Number*Int32->Number)"
tick,0xd1fd04,5985,0,0x0,4
code-creation,Stub,11,0x252c5c80d5e0,466,"BinaryOpICStub(ADD:Number*Number->Number)"
code-creation,Stub,11,0x252c5c80d7c0,442,"BinaryOpICStub(ADD:Number*Smi->Number)"
code-creation,Stub,11,0x252c5c80d980,232,"BinaryOpICStub(ADD:Smi*Int32->Int32)"
code-creation,Stub,11,0x252c5c80da80,414,"BinaryOpICStub(ADD:Smi*Int32->Number)"
code-creation,Stub,11,0x252c5c80dc20,442,"BinaryOpICStub(ADD:Smi*Number->Number)"
code-creation,Stub,11,0x252c5c80dde0,232,"BinaryOpICStub(ADD:Smi*Smi->Int32)"
code-creation,Stub,11,0x252c5c80dee0,232,"BinaryOpICStub(ADD:Smi*Smi->Smi)"
code-creation,Stub,11,0x252c5c80dfe0,212,"BinaryOpICStub(BIT_AND:Int32*Int32->Int32)"
code-creation,Stub,11,0x252c5c80e0c0,212,"BinaryOpICStub(BIT_AND:Int32*Int32->Smi)"
code-creation,Stub,11,0x252c5c80e1a0,212,"BinaryOpICStub(BIT_AND:Int32*Smi->Int32)"
code-creation,Stub,11,0x252c5c80e280,212,"BinaryOpICStub(BIT_AND:Int32*Smi->Smi)"
code-creation,Stub,2,0x252c5c80e360,184,"DoubleToIStub"
code-creation,Stub,11,0x252c5c80e420,332,"BinaryOpICStub(BIT_AND:Number*Int32->Int32)"
code-creation,Stub,11,0x252c5c80e580,332,"BinaryOpICStub(BIT_AND:Number*Smi->Smi)"
code-creation,Stub,11,0x252c5c80e6e0,212,"BinaryOpICStub(BIT_AND:Smi*Int32->Int32)"
code-creation,Stub,11,0x252c5c80e7c0,212,"BinaryOpICStub(BIT_AND:Smi*Int32->Smi)"
tick,0xbbdaaf,7008,0,0x0,4
code-creation,Stub,11,0x252c5c80e8a0,332,"BinaryOpICStub(BIT_AND:Smi*Number->Smi)"
code-creation,Stub,11,0x252c5c80ea00,212,"BinaryOpICStub(BIT_AND:Smi*Smi->Smi)"
code-creation,Stub,11,0x252c5c80eae0,212,"BinaryOpICStub(BIT_OR:Int32*Int32->Int32)"
code-creation,Stub,11,0x252c5c80ebc0,212,"BinaryOpICStub(BIT_OR:Int32*Int32->Smi)"
code-creation,Stub,11,0x252c5c80eca0,212,"BinaryOpICStub(BIT_OR:Int32*Smi->Int32)"
code-creation,Stub,11,0x252c5c80ed80,212,"BinaryOpICStub(BIT_OR:Int32*Smi->Smi)"
code-creation,Stub,11,0x252c5c80ee60,332,"BinaryOpICStub(BIT_OR:Number*Smi->Int32)"
code-creation,Stub,11,0x252c5c80efc0,332,"BinaryOpICStub(BIT_OR:Number*Smi->Smi)"
code-creation,Stub,11,0x252c5c80f120,212,"BinaryOpICStub(BIT_OR:Smi*Int32->Int32)"
code-creation,Stub,11,0x252c5c80f200,212,"BinaryOpICStub(BIT_OR:Smi*Int32->Smi)"
code-creation,Stub,11,0x252c5c80f2e0,212,"BinaryOpICStub(BIT_OR:Smi*Smi->Smi)"
code-creation,Stub,11,0x252c5c80f3c0,212,"BinaryOpICStub(BIT_XOR:Int32*Int32->Int32)"
code-creation,Stub,11,0x252c5c80f4a0,212,"BinaryOpICStub(BIT_XOR:Int32*Int32->Smi)"
code-creation,Stub,11,0x252c5c80f580,332,"BinaryOpICStub(BIT_XOR:Int32*Number->Smi)"
code-creation,Stub,11,0x252c5c80f6e0,212,"BinaryOpICStub(BIT_XOR:Int32*Smi->Int32)"
tick,0xb3771b,8069,0,0x0,4
code-creation,Stub,11,0x252c5c80f7c0,332,"BinaryOpICStub(BIT_XOR:Number*Int32->Int32)"
code-creation,Stub,11,0x252c5c80f920,332,"BinaryOpICStub(BIT_XOR:Number*Smi->Int32)"
code-creation,Stub,11,0x252c5c80fa80,332,"BinaryOpICStub(BIT_XOR:Number*Smi->Smi)"
code-creation,Stub,11,0x252c5c80fbe0,212,"BinaryOpICStub(BIT_XOR:Smi*Int32->Int32)"
code-creation,Stub,11,0x252c5c80fcc0,212,"BinaryOpICStub(BIT_XOR:Smi*Int32->Smi)"
code-creation,Stub,11,0x252c5c80fda0,212,"BinaryOpICStub(BIT_XOR:Smi*Smi->Smi)"
code-creation,Stub,11,0x252c5c80fe80,292,"BinaryOpICStub(DIV:Int32*Int32->Int32)"
code-creation,Stub,11,0x252c5c80ffc0,418,"BinaryOpICStub(DIV:Int32*Int32->Number)"
code-creation,Stub,11,0x252c5c810180,442,"BinaryOpICStub(DIV:Int32*Number->Number)"
code-creation,Stub,11,0x252c5c810340,292,"BinaryOpICStub(DIV:Int32*Smi->Int32)"
code-creation,Stub,11,0x252c5c810480,418,"BinaryOpICStub(DIV:Int32*Smi->Number)"
code-creation,Stub,11,0x252c5c810640,446,"BinaryOpICStub(DIV:Number*Int32->Number)"
code-creation,Stub,11,0x252c5c810800,470,"BinaryOpICStub(DIV:Number*Number->Number)"
code-creation,Stub,11,0x252c5c8109e0,446,"BinaryOpICStub(DIV:Number*Smi->Number)"
code-creation,Stub,11,0x252c5c810ba0,292,"BinaryOpICStub(DIV:Smi*Int32->Int32)"
code-creation,Stub,11,0x252c5c810ce0,418,"BinaryOpICStub(DIV:Smi*Int32->Number)"
code-creation,Stub,11,0x252c5c810ea0,442,"BinaryOpICStub(DIV:Smi*Number->Number)"
tick,0xb267e8,9582,0,0x0,4
code-creation,Stub,11,0x252c5c811060,418,"BinaryOpICStub(DIV:Smi*Smi->Number)"
code-creation,Stub,11,0x252c5c811220,292,"BinaryOpICStub(DIV:Smi*Smi->Smi)"
tick,0xd79540,12253,0,0x0,4
